cell_id,checkpoint,component,ecology,mean_accuracy
C3,64,3,AFFINE_BOOLEAN_V1,0.4986979166666667
C3,128,1,AFFINE_BOOLEAN_V1,0.5598958333333334
C3,128,2,AFFINE_BOOLEAN_V1,0.515625
C3,128,3,AFFINE_BOOLEAN_V1,0.5247395833333334
C4,0,1,AFFINE_BOOLEAN_V1,0.4713541666666667
C4,0,2,AFFINE_BOOLEAN_V1,0.50390625
C4,0,3,AFFINE_BOOLEAN_V1,0.51953125
C4,16,1,AFFINE_BOOLEAN_V1,0.5052083333333334
C4,16,2,AFFINE_BOOLEAN_V1,0.5013020833333334
C4,16,3,AFFINE_BOOLEAN_V1,0.5091145833333334
C4,32,1,AFFINE_BOOLEAN_V1,0.52734375
C4,32,2,AFFINE_BOOLEAN_V1,0.51953125
C4,32,3,AFFINE_BOOLEAN_V1,0.5052083333333334
C4,64,1,AFFINE_BOOLEAN_V1,0.5338541666666666
C4,64,2,AFFINE_BOOLEAN_V1,0.4934895833333333
C4,64,3,AFFINE_BOOLEAN_V1,0.5390625
C4,128,1,AFFINE_BOOLEAN_V1,0.5442708333333334
C4,128,2,AFFINE_BOOLEAN_V1,0.5234375
C4,128,3,AFFINE_BOOLEAN_V1,0.5078125
C5,0,1,AFFINE_BOOLEAN_V1,0.4713541666666667
C5,0,2,AFFINE_BOOLEAN_V1,0.50390625
C5,0,3,AFFINE_BOOLEAN_V1,0.51953125
C5,16,1,AFFINE_BOOLEAN_V1,0.5104166666666666
C5,16,2,AFFINE_BOOLEAN_V1,0.51953125
C5,16,3,AFFINE_BOOLEAN_V1,0.5104166666666666
C5,32,1,AFFINE_BOOLEAN_V1,0.52734375
C5,32,2,AFFINE_BOOLEAN_V1,0.5286458333333334
C5,32,3,AFFINE_BOOLEAN_V1,0.51171875
C5,64,1,AFFINE_BOOLEAN_V1,0.5221354166666666
C5,64,2,AFFINE_BOOLEAN_V1,0.5260416666666666
C5,64,3,AFFINE_BOOLEAN_V1,0.49609375
C5,128,1,AFFINE_BOOLEAN_V1,0.5416666666666666
C5,128,2,AFFINE_BOOLEAN_V1,0.5364583333333334
C5,128,3,AFFINE_BOOLEAN_V1,0.515625
C6,0,1,AFFINE_BOOLEAN_V1,0.4713541666666667
C6,0,2,AFFINE_BOOLEAN_V1,0.50390625
C6,0,3,AFFINE_BOOLEAN_V1,0.51953125
C6,16,1,AFFINE_BOOLEAN_V1,0.5130208333333334
C6,16,2,AFFINE_BOOLEAN_V1,0.53515625
C6,16,3,AFFINE_BOOLEAN_V1,0.5013020833333334
C6,32,1,AFFINE_BOOLEAN_V1,0.5169270833333334
C6,32,2,AFFINE_BOOLEAN_V1,0.5234375
C6,32,3,AFFINE_BOOLEAN_V1,0.4973958333333333
C6,64,1,AFFINE_BOOLEAN_V1,0.5091145833333334
C6,64,2,AFFINE_BOOLEAN_V1,0.5221354166666666
C6,64,3,AFFINE_BOOLEAN_V1,0.5221354166666666
C6,128,1,AFFINE_BOOLEAN_V1,0.5390625
C6,128,2,AFFINE_BOOLEAN_V1,0.5247395833333334
C6,128,3,AFFINE_BOOLEAN_V1,0.4908854166666667
C7,0,1,AFFINE_BOOLEAN_V1,0.4713541666666667
C7,0,2,AFFINE_BOOLEAN_V1,0.50390625
C7,0,3,AFFINE_BOOLEAN_V1,0.51953125
C7,16,1,AFFINE_BOOLEAN_V1,0.4817708333333333
C7,16,2,AFFINE_BOOLEAN_V1,0.55078125
C7,16,3,AFFINE_BOOLEAN_V1,0.5260416666666666
C7,32,1,AFFINE_BOOLEAN_V1,0.546875
C7,32,2,AFFINE_BOOLEAN_V1,0.5221354166666666
C7,32,3,AFFINE_BOOLEAN_V1,0.52734375
C7,64,1,AFFINE_BOOLEAN_V1,0.55859375
C7,64,2,AFFINE_BOOLEAN_V1,0.5299479166666666
C7,64,3,AFFINE_BOOLEAN_V1,0.4947916666666667
C7,128,1,AFFINE_BOOLEAN_V1,0.56640625
C7,128,2,AFFINE_BOOLEAN_V1,0.5533854166666666
C7,128,3,AFFINE_BOOLEAN_V1,0.5078125
