beta,cell_id,ecology,epsilon,g_excess_obs,g_excess_obs_joint,g_obs,g_obs_joint,k,psi_bit_0,psi_bit_128,psi_bit_16,psi_bit_32,psi_bit_64,psi_joint_0,psi_joint_128,psi_joint_16,psi_joint_32,psi_joint_64,q_share,seed
8.0,C2,V31_FRESH,0.1,-0.015824459235650668,-0.034725731108353565,-0.0022921653595669835,-0.010202917891049344,8,0.005642361111111112,0.008924696180555558,0.002739800347222222,0.008761935763888892,0.0031195746527777775,0.007568359375,0.01025390625,0.0087890625,0.0205078125,0.006591796875,0.0,98102
12.0,C3,V31_FRESH,0.1,-0.022269490924815658,-0.023490362692896487,-0.00873719704873197,0.001032450524407734,8,0.005642361111111112,0.010260687934027778,0.015001085069444446,0.015848795572916668,0.010253906249999998,0.007568359375,0.01226806640625,0.009033203125,0.013916015625,0.01031494140625,0.0,98102
20.0,C4,V31_FRESH,0.1,-0.0032948836094181984,0.009310408393748415,0.010237410266665487,0.033833221611052636,8,0.005642361111111112,0.01152886284722222,0.0029568142361111093,0.007548014322916666,0.005642361111111111,0.007568359375,0.01666259765625,0.00341796875,0.01080322265625,0.01959228515625,0.0,98102
16.0,C5,V31_FRESH,0.55,-0.007071760655649588,-0.011365356001504128,0.006460533220434097,0.013157457215800092,8,0.005642361111111112,0.004184299045138887,0.005323621961805555,0.014431423611111112,0.008680555555555558,0.007568359375,0.013916015625,0.00885009765625,0.02008056640625,0.018798828125,0.0,98102
12.0,C6,V31_FRESH,0.1,-0.034179627193528794,-0.06130194657169888,-0.020647333317445112,-0.03677913335439466,8,0.005642361111111112,0.003906250000000001,0.009609646267361114,0.007113986545138891,0.0035875108506944436,0.007568359375,0.00592041015625,0.01031494140625,0.01715087890625,0.002197265625,0.5,98102
12.0,C7,V31_FRESH,0.1,-0.013582260880449767,-0.003645355557685817,-4.996700436608225e-05,0.020877457659618404,8,0.005642361111111112,0.0034247504340277784,0.001254611545138889,0.002068413628472222,0.0013834635416666667,0.007568359375,0.00836181640625,0.00103759765625,0.00787353515625,0.00396728515625,1.0,98102
0.0,C0,V31_FRESH,0.1,0.0,0.0,0.009005874800690247,0.03166437263919434,8,0.003858778211805556,0.013563368055555556,0.004726833767361109,0.012376573350694444,0.008578830295138892,0.00537109375,0.01959228515625,0.006103515625,0.01715087890625,0.031005859375,0.0,98103
4.0,C1,V31_FRESH,0.1,-0.005429257879600559,-0.01372363504173555,0.0035766169210896884,0.01794073759745879,8,0.003858778211805556,0.008056640625,0.009067111545138888,0.017259385850694444,0.012105305989583337,0.00537109375,0.005859375,0.01416015625,0.01568603515625,0.03228759765625,0.0,98103
8.0,C2,V31_FRESH,0.1,0.020333352395283687,-0.0021496301557254217,0.029339227195973934,0.029514742483468918,8,0.003858778211805556,0.020670572916666664,0.004584418402777778,0.01671685112847222,0.02210828993055556,0.00537109375,0.02886962890625,0.00738525390625,0.011962890625,0.030517578125,0.0,98103
12.0,C3,V31_FRESH,0.1,0.019583916773283243,0.001017349467904112,0.02858979157397349,0.03268172210709845,8,0.003858778211805556,0.02615695529513889,0.007168240017361109,0.0058051215277777745,0.02473958333333333,0.00537109375,0.01763916015625,0.01275634765625,0.01123046875,0.05377197265625,0.0,98103
